ID,deaths,pumpID,distpump,distBSpump,BSpump,COORD_X,COORD_Y
230,2,1,19.89564367,19.896,1,529376.7078,181026.5839
231,1,1,39.27735959,39.277,1,529357.397,181028.1754
232,2,1,57.13854663,57.139,1,529396.2882,181082.185
233,1,1,60.4560104,60.457,1,529406.4923,181084.6769
234,1,1,54.52952789,54.53,1,529347.4247,181048.7169
235,2,1,60.64206707,60.642,1,529343.4428,181054.3222
236,3,1,71.49158201,71.492,1,529339.5913,181068.249
237,1,2,89.41171076,130.253,0,529281.6518,181086.356
238,1,1,68.04307525,68.043,1,529347.11,181071.7958
239,4,1,93.87577039,93.876,1,529303.9912,181040.6316
240,2,2,102.097395,110.183,0,529293.396,181063.7242
241,2,2,97.01110529,114.185,0,529286.6448,181055.9483
242,1,2,93.07999927,118.724,0,529284.2014,181063.371
243,5,2,106.3918682,126.771,0,529296.3259,181102.6444
244,3,3,123.3971729,178.783,0,529306.2555,181179.3161
245,2,3,136.909231,177.061,0,529320.3187,181184.8229
246,3,1,135.3425152,135.343,1,529362.6646,181156.0584
247,2,1,154.3352434,154.336,1,529365.1519,181176.1286
248,1,8,114.6158254,169.873,0,529274.165,180907.3126
249,1,8,78.42537007,180.358,0,529299.3613,180873.1847
250,1,8,69.34408991,181.907,0,529324.8152,180857.9487
